-- Dummy data: 300 rows for subscription_management schema
-- Table: customers (no portal_user_id; safe if you already have users/roles).
-- Run in MySQL after: SOURCE subscription_management.sql (or existing DB).
-- Suggested order: 1) this file, 2) dummy_products_300.txt, 3) dummy_subscriptions_300.txt

SET FOREIGN_KEY_CHECKS=0;
INSERT INTO customers (customer_name, email, phone, company_name, billing_address, shipping_address, tax_number, portal_user_id, status) VALUES
  ('Dummy Customer 1', 'dummy.customer.1@example.test', '+1-555-1001', 'Acme Division 2 LLC', '1 Test Street, Suite 1, Metro City, TC 10001', '1 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000001', NULL, 'ACTIVE'),
  ('Dummy Customer 2', 'dummy.customer.2@example.test', '+1-555-1002', 'Acme Division 3 LLC', '2 Test Street, Suite 2, Metro City, TC 10002', '2 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000002', NULL, 'ACTIVE'),
  ('Dummy Customer 3', 'dummy.customer.3@example.test', '+1-555-1003', 'Acme Division 4 LLC', '3 Test Street, Suite 3, Metro City, TC 10003', '3 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000003', NULL, 'ACTIVE'),
  ('Dummy Customer 4', 'dummy.customer.4@example.test', '+1-555-1004', 'Acme Division 5 LLC', '4 Test Street, Suite 4, Metro City, TC 10004', '4 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000004', NULL, 'ACTIVE'),
  ('Dummy Customer 5', 'dummy.customer.5@example.test', '+1-555-1005', 'Acme Division 6 LLC', '5 Test Street, Suite 5, Metro City, TC 10005', '5 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000005', NULL, 'ACTIVE'),
  ('Dummy Customer 6', 'dummy.customer.6@example.test', '+1-555-1006', 'Acme Division 7 LLC', '6 Test Street, Suite 6, Metro City, TC 10006', '6 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000006', NULL, 'ACTIVE'),
  ('Dummy Customer 7', 'dummy.customer.7@example.test', '+1-555-1007', 'Acme Division 8 LLC', '7 Test Street, Suite 7, Metro City, TC 10007', '7 Test Street, Suite 7, Metro City, TC 10007', 'TAX-1000007', NULL, 'ACTIVE'),
  ('Dummy Customer 8', 'dummy.customer.8@example.test', '+1-555-1008', 'Acme Division 9 LLC', '8 Test Street, Suite 8, Metro City, TC 10008', '8 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000008', NULL, 'ACTIVE'),
  ('Dummy Customer 9', 'dummy.customer.9@example.test', '+1-555-1009', 'Acme Division 10 LLC', '9 Test Street, Suite 9, Metro City, TC 10009', '9 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000009', NULL, 'ACTIVE'),
  ('Dummy Customer 10', 'dummy.customer.10@example.test', '+1-555-1010', 'Acme Division 11 LLC', '10 Test Street, Suite 10, Metro City, TC 10010', '10 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000010', NULL, 'ACTIVE'),
  ('Dummy Customer 11', 'dummy.customer.11@example.test', '+1-555-1011', 'Acme Division 12 LLC', '11 Test Street, Suite 11, Metro City, TC 10011', '11 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000011', NULL, 'ACTIVE'),
